state,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
nv,1344178.0,308291.0,732672.0,303215.0,275127.0,500444.0,568607.0,6724.0,12847.0,5476.0,85420.0,52732.0,37274.0,145371.0,66118.0,18596.0,36140.0,27564.0,60590.0,27715.0,101760.0,88724.0,138182.0,34615.0,307149.0,35135.0,56046.0,1003124.0,137901.0,19002.0,130244.0,9661.0,44246.0,996862.0,347316.0,181956.0,259119.0,332035.0,262777.0,695175.0,649003.0
nm,820751.0,189589.0,431480.0,199682.0,196297.0,309762.0,314692.0,10074.0,21668.0,6433.0,51410.0,28881.0,22106.0,95654.0,22491.0,14930.0,23614.0,10818.0,58613.0,6337.0,46063.0,77480.0,140930.0,15640.0,93376.0,21507.0,52726.0,683865.0,23752.0,76262.0,18288.0,1500.0,17084.0,439579.0,381172.0,116586.0,178633.0,207537.0,128406.0,409091.0,411660.0
al,1979534.0,477001.0,1063648.0,438885.0,460417.0,710078.0,809039.0,12370.0,6297.0,20783.0,95597.0,276350.0,74988.0,240569.0,68453.0,23433.0,75883.0,25825.0,107534.0,18669.0,126244.0,167936.0,274147.0,24335.0,188708.0,49100.0,102313.0,1372906.0,545398.0,10691.0,29439.0,1326.0,19774.0,1913124.0,66410.0,190119.0,455040.0,494412.0,362962.0,991421.0,988113.0
nc,4376748.0,993206.0,2376196.0,1007346.0,1026087.0,1532334.0,1818327.0,27374.0,3077.0,17531.0,217859.0,476147.0,181358.0,509463.0,141463.0,78437.0,165350.0,59256.0,258608.0,81488.0,297175.0,394537.0,620318.0,73043.0,429750.0,113941.0,230573.0,3113896.0,1023107.0,44050.0,132650.0,3901.0,59144.0,4102463.0,274285.0,451195.0,976394.0,1077485.0,878468.0,2149913.0,2226835.0
ms,1177471.0,275087.0,641803.0,260581.0,301374.0,464647.0,411450.0,12050.0,7283.0,9721.0,56579.0,145451.0,38804.0,146465.0,55821.0,13295.0,34169.0,13512.0,36294.0,13250.0,69726.0,116030.0,186498.0,11015.0,126850.0,24017.0,60641.0,699727.0,448859.0,6131.0,13876.0,587.0,8291.0,1146835.0,30636.0,127069.0,274549.0,300977.0,199789.0,566596.0,610875.0
wi,2924328.0,700421.0,1513203.0,710704.0,712932.0,892587.0,1318809.0,27231.0,4219.0,11821.0,127818.0,483721.0,130621.0,303054.0,102274.0,51463.0,128070.0,28068.0,120408.0,75183.0,148223.0,235191.0,435017.0,47122.0,236630.0,87809.0,140385.0,2600624.0,178853.0,25259.0,81377.0,1650.0,36565.0,2762574.0,161754.0,206962.0,676994.0,757705.0,582246.0,1463972.0,1460356.0
ks,1361763.0,318505.0,702347.0,340911.0,336748.0,451851.0,573164.0,13134.0,7388.0,8376.0,61194.0,162852.0,56584.0,143596.0,48674.0,21084.0,56865.0,16114.0,79669.0,24904.0,72802.0,143793.0,202420.0,20763.0,111334.0,34995.0,75222.0,1190626.0,87246.0,14144.0,41287.0,1494.0,26966.0,1227739.0,134024.0,121563.0,298588.0,342569.0,280538.0,685079.0,676684.0
or,1844269.0,404181.0,1005686.0,434402.0,373294.0,632876.0,838099.0,49265.0,2073.0,8884.0,107181.0,183157.0,71187.0,198180.0,58654.0,36986.0,57057.0,28409.0,99537.0,47317.0,101360.0,156846.0,272057.0,32992.0,178076.0,76769.0,78282.0,1625869.0,44043.0,23893.0,91198.0,6976.0,52290.0,1635410.0,208859.0,169831.0,386255.0,476114.0,407888.0,938171.0,906098.0
tn,2917332.0,711586.0,1550479.0,655267.0,661854.0,1018113.0,1237365.0,8113.0,3789.0,17323.0,124252.0,349465.0,115553.0,340868.0,150493.0,47874.0,107636.0,41291.0,142275.0,49181.0,216233.0,251349.0,405964.0,39302.0,292431.0,80129.0,133811.0,2283646.0,529902.0,9097.0,58764.0,1974.0,33949.0,2800266.0,117066.0,261397.0,683833.0,715283.0,545233.0,1455270.0,1462062.0
ar,1205777.0,293154.0,644379.0,268244.0,279384.0,477328.0,449065.0,12622.0,4743.0,11032.0,57621.0,154101.0,47955.0,134213.0,51859.0,13095.0,37632.0,13957.0,46010.0,35595.0,70640.0,109732.0,204174.0,14873.0,107635.0,26201.0,52087.0,954471.0,198958.0,10451.0,22987.0,2439.0,16471.0,1125313.0,80464.0,120977.0,282010.0,297012.0,212624.0,596946.0,608831.0
ne,947121.0,231806.0,485048.0,230267.0,227898.0,321021.0,398202.0,14411.0,1234.0,7275.0,50612.0,101397.0,38939.0,105085.0,32423.0,17686.0,54053.0,10337.0,45090.0,20786.0,50871.0,91772.0,143978.0,14442.0,77205.0,25314.0,44211.0,853900.0,47582.0,8641.0,23012.0,903.0,13083.0,859694.0,87427.0,75900.0,202080.0,245077.0,192258.0,470318.0,476803.0
mt,463497.0,105978.0,237162.0,120357.0,122661.0,160395.0,180441.0,6001.0,7903.0,3554.0,30516.0,20759.0,17887.0,58291.0,13641.0,6735.0,15788.0,6269.0,23844.0,2298.0,17551.0,44579.0,72192.0,12124.0,51014.0,18804.0,33747.0,427197.0,3520.0,18562.0,4508.0,461.0,9249.0,446440.0,17057.0,35373.0,113789.0,122408.0,85949.0,228225.0,235272.0
nd,373550.0,94920.0,191938.0,86692.0,85113.0,105087.0,183350.0,4264.0,15632.0,3666.0,20588.0,22779.0,22201.0,42461.0,15449.0,6060.0,16110.0,5075.0,15212.0,5120.0,12129.0,35856.0,60651.0,8084.0,31948.0,10750.0,19515.0,335374.0,13064.0,13147.0,6178.0,340.0,5447.0,359933.0,13617.0,26652.0,85271.0,99790.0,66917.0,192513.0,181037.0
