,CountryName,RegionName,PredictorName,Cumul-7DMA-MAE-per-100K,PredictorRank
5433,United States,Nevada,mlp_model_1110_6,419.44906281531587,6.0
5433,United States,Nevada,mlp_model_0110_2,586.6144955104229,7.0
5433,United States,Nevada,mlp_model_0110,146555.96658238792,8.0
5455,United States,New Hampshire,mlp_model_1110_2,60.96639551069171,1.0
5455,United States,New Hampshire,mlp_model_1110,64.25179486965801,2.0
5455,United States,New Hampshire,mlp_model_0110_6,66.94878404112929,3.0
5455,United States,New Hampshire,mlp_model_1110_6,76.91088258691684,4.0
5455,United States,New Hampshire,Linear,83.2067488499155,5.0
5455,United States,New Hampshire,LSTM,139.48754815667579,6.0
5455,United States,New Hampshire,mlp_model_0110_2,164.22568735979067,7.0
5455,United States,New Hampshire,mlp_model_0110,232362.41491367418,8.0
5477,United States,New Jersey,mlp_model_1110,43.296328807543404,1.0
5477,United States,New Jersey,mlp_model_0110_2,67.09358017291058,2.0
5477,United States,New Jersey,mlp_model_0110,90.39345224996829,3.0
5477,United States,New Jersey,LSTM,115.70391330487107,4.0
5477,United States,New Jersey,mlp_model_1110_2,128.86822843009134,5.0
5477,United States,New Jersey,Linear,140.68277673121946,6.0
5477,United States,New Jersey,mlp_model_1110_6,265.0639506060121,7.0
5477,United States,New Jersey,mlp_model_0110_6,322.2416917380131,8.0
5499,United States,New Mexico,Linear,175.78486282561417,1.0
5499,United States,New Mexico,mlp_model_1110_2,193.97811134424538,2.0
5499,United States,New Mexico,LSTM,238.81020353657215,3.0
5499,United States,New Mexico,mlp_model_0110_2,379.0339484804622,4.0
5499,United States,New Mexico,mlp_model_1110,625.3423268107703,5.0
5499,United States,New Mexico,mlp_model_1110_6,781.4383299303967,6.0
5499,United States,New Mexico,mlp_model_0110_6,1023.3826825369591,7.0
5499,United States,New Mexico,mlp_model_0110,73917.02842303015,8.0
5521,United States,New York,LSTM,46.121223776748636,1.0
5521,United States,New York,mlp_model_0110_6,52.69797435827737,2.0
5521,United States,New York,mlp_model_1110,57.412482473686204,3.0
5521,United States,New York,mlp_model_1110_2,65.79018020673958,4.0
5521,United States,New York,mlp_model_0110_2,79.01557595230788,5.0
5521,United States,New York,Linear,85.13591725550606,6.0
5521,United States,New York,mlp_model_1110_6,93.93630584334322,7.0
5521,United States,New York,mlp_model_0110,114.58929153498994,8.0
5543,United States,North Carolina,Linear,74.03394404413201,1.0
5543,United States,North Carolina,LSTM,94.99107093346115,2.0
5543,United States,North Carolina,mlp_model_1110,170.82840850262,3.0
5543,United States,North Carolina,mlp_model_0110_6,224.24154154743763,4.0
5543,United States,North Carolina,mlp_model_1110_2,224.95564152513035,5.0
5543,United States,North Carolina,mlp_model_1110_6,253.41829451035517,6.0
5543,United States,North Carolina,mlp_model_0110_2,256.93982424120236,7.0
5543,United States,North Carolina,mlp_model_0110,407.6247116006893,8.0
5565,United States,North Dakota,mlp_model_1110_6,218.0868805731804,1.0
5565,United States,North Dakota,mlp_model_0110_2,234.02169173582502,2.0
5565,United States,North Dakota,Linear,303.9950516105458,3.0
5565,United States,North Dakota,mlp_model_1110,431.2998411790507,4.0
5565,United States,North Dakota,LSTM,501.1935851851319,5.0
5565,United States,North Dakota,mlp_model_0110_6,592.2145342342988,6.0
5565,United States,North Dakota,mlp_model_1110_2,808.6985269286996,7.0
5565,United States,North Dakota,mlp_model_0110,246094.43982869838,8.0
5587,United States,Ohio,mlp_model_0110_6,212.46632371195446,1.0
5587,United States,Ohio,LSTM,252.74215703134206,2.0
5587,United States,Ohio,mlp_model_1110,304.8628657255148,3.0
5587,United States,Ohio,Linear,310.9055524798632,4.0
5587,United States,Ohio,mlp_model_0110_2,338.7535273468192,5.0
5587,United States,Ohio,mlp_model_1110_2,359.60332730687287,6.0
5587,United States,Ohio,mlp_model_1110_6,379.6339957444155,7.0
5587,United States,Ohio,mlp_model_0110,550.5574290352708,8.0
5609,United States,Oklahoma,Linear,80.56031162354085,1.0
5609,United States,Oklahoma,LSTM,155.6546853416434,2.0
5609,United States,Oklahoma,mlp_model_0110_6,162.89201003609512,3.0
5609,United States,Oklahoma,mlp_model_1110_2,189.7184734233346,4.0
5609,United States,Oklahoma,mlp_model_0110_2,323.97126959250505,5.0
